partida_id,temporada,rodada,clube,clube_slug,chutes,chutes_no_alvo,posse_de_bola_pct,passes,precisao_passes_pct,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,scouts_validos
100,2003,9,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
100,2003,9,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
101,2003,9,Athletico-PR,athletico_pr,0,0,,0,,0,0,0,0,0,False
101,2003,9,Internacional,internacional,0,0,,0,,0,0,0,0,0,False
102,2003,9,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
102,2003,9,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
103,2003,9,Cruzeiro,cruzeiro,0,0,,0,,0,0,0,0,0,False
103,2003,9,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
104,2003,9,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
104,2003,9,Goias,goias,0,0,,0,,0,0,0,0,0,False
105,2003,9,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
105,2003,9,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
106,2003,9,Vitoria,vitoria,0,0,,0,,0,0,0,0,0,False
106,2003,9,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
107,2003,9,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
107,2003,9,Guarani,guarani,0,0,,0,,0,0,0,0,0,False
108,2003,9,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
108,2003,9,Parana,parana,0,0,,0,,0,0,0,0,0,False
109,2003,10,Atletico-MG,atletico_mg,0,0,,0,,0,0,0,0,0,False
109,2003,10,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
110,2003,10,Parana,parana,0,0,,0,,0,0,0,0,0,False
110,2003,10,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
111,2003,10,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
111,2003,10,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
112,2003,10,Ponte Preta,ponte_preta,0,0,,0,,0,0,0,0,0,False
112,2003,10,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
113,2003,10,Athletico-PR,athletico_pr,0,0,,0,,0,0,0,0,0,False
113,2003,10,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
114,2003,10,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
114,2003,10,Paysandu,paysandu,0,0,,0,,0,0,0,0,0,False
115,2003,10,Criciuma,criciuma,0,0,,0,,0,0,0,0,0,False
115,2003,10,Goias,goias,0,0,,0,,0,0,0,0,0,False
116,2003,10,Sao Paulo,sao_paulo,0,0,,0,,0,0,0,0,0,False
116,2003,10,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
