partida_id,temporada,rodada,clube,clube_slug,atleta,atleta_slug,minuto_continuo,minuto_nominal,acrescimo,periodo,tipo_de_gol
6921,2020,4,Corinthians,corinthians,Leonardo Natel,leonardo_natel,38,38,0,1T,Normal
6922,2020,4,Botafogo-RJ,botafogo_rj,Caio Alexandre,caio_alexandre,88,88,0,2T,Normal
6922,2020,4,Atletico-MG,atletico_mg,Igor Rabello,igor_rabello,97,90,7,2T,Normal
6922,2020,4,Botafogo-RJ,botafogo_rj,Luiz Fernando Moraes dos Santos,luiz_fernando_moraes_dos_santos,27,27,0,1T,Normal
6923,2020,4,Santos,santos,Mário Sérgio Santos Costa,mario_sergio_santos_costa,76,76,0,2T,Normal
6924,2020,4,Vasco,vasco,Fellipe Bastos,fellipe_bastos,78,78,0,2T,Normal
6924,2020,4,Vasco,vasco,Ribamar,ribamar,95,90,5,2T,Normal
6924,2020,4,Vasco,vasco,Germán Cano,german_cano,68,68,0,2T,Normal
6925,2020,4,Sao Paulo,sao_paulo,Luciano da Rocha Neves,luciano_da_rocha_neves,85,85,0,2T,Normal
6925,2020,4,Bahia,bahia,Rossicley Pereira da Silva,rossicley_pereira_da_silva,21,21,0,1T,Normal
6926,2020,5,Fluminense,fluminense,Felipe Aguilar,felipe_aguilar,49,45,4,1T,Gol Contra
6927,2020,5,Internacional,internacional,Thiago Galhardo,thiago_galhardo,8,8,0,1T,Normal
6928,2020,5,Goias,goias,Daniel Bessa,daniel_bessa,21,21,0,1T,Normal
6928,2020,5,Goias,goias,Victor Andrade,victor_andrade,95,90,5,2T,Normal
6929,2020,5,Botafogo-RJ,botafogo_rj,Pedro Raúl,pedro_raul,93,90,3,2T,Normal
6929,2020,5,Flamengo,flamengo,Gabriel Barbosa,gabriel_barbosa,101,90,11,2T,Penalty
6932,2020,5,Bragantino,bragantino,Alerrandro Barra Mansa Realino de Souza,alerrandro_barra_mansa_realino_de_souza,45,45,0,1T,Normal
6932,2020,5,Coritiba,coritiba,Sabino,sabino,49,45,4,1T,Penalty
6932,2020,5,Coritiba,coritiba,Robson Fernandes,robson_fernandes,53,53,0,2T,Normal
6931,2020,5,Palmeiras,palmeiras,Patrick de Paula,patrick_de_paula,73,73,0,2T,Normal
6931,2020,5,Palmeiras,palmeiras,Luiz Adriano,luiz_adriano,46,45,1,1T,Penalty
6931,2020,5,Santos,santos,Ramires,ramires,48,48,0,2T,Gol Contra
6933,2020,5,Sao Paulo,sao_paulo,Pablo Felipe Teixeira,pablo_felipe_teixeira,6,6,0,1T,Normal
6934,2020,5,Ceara,ceara,Cléber,cleber,12,12,0,1T,Normal
6934,2020,5,Ceara,ceara,Mateus Gonçalves Martins,mateus_goncalves_martins,75,75,0,2T,Normal
6935,2020,5,Fortaleza,fortaleza,Romarinho,romarinho,62,62,0,2T,Normal
6935,2020,5,Corinthians,corinthians,Luan Guilherme de Jesus Vieira,luan_guilherme_de_jesus_vieira,76,76,0,2T,Normal
6936,2020,11,Sao Paulo,sao_paulo,Luciano da Rocha Neves,luciano_da_rocha_neves,65,65,0,2T,Normal
6946,2020,6,Internacional,internacional,Thiago Galhardo,thiago_galhardo,5,5,0,1T,Normal
6946,2020,6,Internacional,internacional,Gabriel Boschilia,gabriel_boschilia,28,28,0,1T,Normal
6947,2020,6,Fluminense,fluminense,Fred,fred,81,81,0,2T,Normal
6947,2020,6,Vasco,vasco,Talles Magno,talles_magno,86,86,0,2T,Normal
6947,2020,6,Fluminense,fluminense,Douglas Moreira,douglas_moreira,3,3,0,1T,Normal
6948,2020,6,Bahia,bahia,Marco Antonio Rosa Furtado Júnior,marco_antonio_rosa_furtado_junior,95,90,5,2T,Normal
6948,2020,6,Palmeiras,palmeiras,José Rafael Vivian,jose_rafael_vivian,77,77,0,2T,Normal
6949,2020,6,Fortaleza,fortaleza,Wellington Paulista,wellington_paulista,39,39,0,1T,Normal
6949,2020,6,Fortaleza,fortaleza,Wellington Paulista,wellington_paulista,86,86,0,2T,Normal
6949,2020,6,Fortaleza,fortaleza,Romarinho,romarinho,60,60,0,2T,Normal
6950,2020,6,Sao Paulo,sao_paulo,Brenner,brenner,92,90,2,2T,Normal
6950,2020,6,Corinthians,corinthians,Ramiro Moschen Benetti,ramiro_moschen_benetti,36,36,0,1T,Normal
6950,2020,6,Sao Paulo,sao_paulo,Hernanes,hernanes,14,14,0,1T,Normal
6952,2020,6,Flamengo,flamengo,Gabriel Barbosa,gabriel_barbosa,50,45,5,1T,Normal
6951,2020,6,Coritiba,coritiba,Sabino,sabino,95,90,5,2T,Penalty
6953,2020,6,Ceara,ceara,Lima,lima,96,90,6,2T,Normal
6953,2020,6,Ceara,ceara,Vinícius,vinicius,64,64,0,2T,Normal
6956,2020,7,Ceara,ceara,Vinícius,vinicius,44,44,0,1T,Normal
6957,2020,7,Atletico-GO,atletico_go,Renato Kayzer,renato_kayzer,79,79,0,2T,Normal
6957,2020,7,Fluminense,fluminense,Francisco Evanilson de Lima Barbosa,francisco_evanilson_de_lima_barbosa,7,7,0,1T,Normal
6958,2020,7,Goias,goias,Vinícius Lopes,vinicius_lopes,66,66,0,2T,Normal
6958,2020,7,Corinthians,corinthians,Danilo Avelar,danilo_avelar,91,90,1,2T,Normal
6958,2020,7,Corinthians,corinthians,Fábio Sanches,fabio_sanches,28,28,0,1T,Gol Contra
6961,2020,7,Flamengo,flamengo,Pedro,pedro,2,2,0,1T,Normal
6961,2020,7,Flamengo,flamengo,Éverton Ribeiro,everton_ribeiro,48,48,0,2T,Normal
6961,2020,7,Bahia,bahia,Rodrigo Eduardo Costa Marinho,rodrigo_eduardo_costa_marinho,32,32,0,1T,Normal
6961,2020,7,Flamengo,flamengo,Pedro,pedro,16,16,0,1T,Normal
6961,2020,7,Bahia,bahia,José Élber Pimentel da Silva,jose_elber_pimentel_da_silva,42,42,0,1T,Normal
6961,2020,7,Flamengo,flamengo,Giorgian De Arrascaeta,giorgian_de_arrascaeta,37,37,0,1T,Normal
6961,2020,7,Bahia,bahia,Daniel Sampaio Simões,daniel_sampaio_simoes,90,90,0,2T,Normal
6961,2020,7,Flamengo,flamengo,Giorgian De Arrascaeta,giorgian_de_arrascaeta,52,52,0,2T,Normal
6960,2020,7,Bragantino,bragantino,Claudinho,claudinho,29,29,0,1T,Normal
6960,2020,7,Athletico-PR,athletico_pr,Geuvânio,geuvanio,17,17,0,1T,Normal
