partida_id,temporada,rodada,data,horario,clube_mandante,clube_mandante_slug,clube_visitante,clube_visitante_slug,gols_mandante,gols_visitante,total_gols,saldo_mandante,resultado,vencedor,arena,mandante_uf,visitante_uf,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,tem_bet_mandante,tipo_bet_mandante,marca_bet_mandante,exposure_clube_mandante,exposure_total_mandante,categoria_exp_mandante,tem_bet_visitante,tipo_bet_visitante,marca_bet_visitante,exposure_clube_visitante,exposure_total_visitante,categoria_exp_visitante,exposure_clube_partida,exposure_total_partida,ambos_patrocinados_bet,algum_patrocinado_bet,categoria_exposicao_partida
49,2003,5,2003-04-19,16:00,Bahia,bahia,Atletico-MG,atletico_mg,2,4,6,-2,Vitoria Visitante,Atletico-MG, Fonte Nova,BA,MG,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
50,2003,5,2003-04-19,16:00,Sao Caetano,sao_caetano,Gremio,gremio,1,1,2,0,Empate,-, Anacleto Campanella,SP,RS,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
51,2003,5,2003-04-19,18:00,Flamengo,flamengo,Santos,santos,0,2,2,-2,Vitoria Visitante,Santos, Maracanã,RJ,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
52,2003,5,2003-04-20,16:00,Sao Paulo,sao_paulo,Vasco,vasco,3,1,4,2,Vitoria Mandante,Sao Paulo, Morumbi,SP,RJ,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
53,2003,5,2003-04-20,16:00,Internacional,internacional,Corinthians,corinthians,2,1,3,1,Vitoria Mandante,Internacional, Beira Rio,RS,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
54,2003,5,2003-04-20,16:00,Criciuma,criciuma,Guarani,guarani,1,0,1,1,Vitoria Mandante,Criciuma, Heriberto Hulse,SC,SP,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
55,2003,5,2003-04-20,16:00,Juventude,juventude,Vitoria,vitoria,1,1,2,0,Empate,-, Alfredo Jaconi,RS,BA,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
56,2003,5,2003-04-20,16:00,Fortaleza,fortaleza,Athletico-PR,athletico_pr,1,0,1,1,Vitoria Mandante,Fortaleza, Presidente Vargas,CE,PR,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
57,2003,5,2003-04-20,16:00,Ponte Preta,ponte_preta,Paysandu,paysandu,4,4,8,0,Empate,-, Moisés Lucarelli,SP,PA,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
58,2003,5,2003-04-20,18:00,Cruzeiro,cruzeiro,Goias,goias,4,1,5,3,Vitoria Mandante,Cruzeiro, Mineirão,MG,GO,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
59,2003,5,2003-04-20,18:00,Fluminense,fluminense,Parana,parana,0,0,0,0,Empate,-, Maracanã,RJ,PR,,,,,False,nenhum,Nenhum,0.0,0.0,Nenhuma,False,nenhum,Nenhum,0.0,0.0,Nenhuma,0.0,0.0,False,False,Nenhuma
