partida_id,temporada,serie,rodada,clube,clube_slug,atleta,atleta_slug,num_camisa,minuto_nominal,acrescimo,minuto_continuo,periodo,tipo_de_gol
46,2022,B,5,"Motivo: A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser\",motivo_a1_24_outro_motivo_somente_neste_caso_abriria_um_campo_livre_para_o_arbitro_digitar_o_que_quiser,Londrina/PR,londrina_pr,20,23,0,68,2T,Normal
46,2022,B,5,Vila Nova,vila_nova,Arthur Rodrigues Rezende,arthur_rodrigues_rezende,8,24,0,69,2T,Penalty
46,2022,B,5,Motivo: A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por dar um calço em seu adversario impedindo um ataque,motivo_a1_3_cometer_uma_falta_tatica_para_impedir_um_ataque_promissor_por_dar_um_calco_em_seu_adversario_impedindo_um_ataque,Vila Nova/GO,vila_nova_go,5,26,0,71,2T,Normal
46,2022,B,5,Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada de maneira,motivo_a1_13_dar_uma_entrada_contra_um_adversario_de_maneira_temeraria_na_disputa_da_bola_por_dar_uma_entrada_de_maneira,Vila Nova/GO,vila_nova_go,3,29,0,74,2T,Normal
46,2022,B,5,Motivo: A1.3.  Cometer uma falta tática para impedir um ataque promissor - Por dar um calço em seu adversario impedindo um ataque,motivo_a1_3_cometer_uma_falta_tatica_para_impedir_um_ataque_promissor_por_dar_um_calco_em_seu_adversario_impedindo_um_ataque,Londrina/PR,londrina_pr,15,41,0,86,2T,Normal
46,2022,B,5,Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por dar uma entrada de maneira,motivo_a1_13_dar_uma_entrada_contra_um_adversario_de_maneira_temeraria_na_disputa_da_bola_por_dar_uma_entrada_de_maneira,Vila Nova/GO,vila_nova_go,6,90,2,92,2T,Normal
46,2022,B,5,Londrina,londrina,Joao Paulo da Silva,joao_paulo_da_silva,5,90,3,93,2T,Normal
47,2022,B,5,Grêmio,gremio,Elias Manoel Alves de Paula,elias_manoel_alves_de_paula,18,14,0,14,1T,Normal
47,2022,B,5,Grêmio,gremio,Joao Paulo de Souza Mares,joao_paulo_de_souza_mares,39,40,0,40,1T,Normal
48,2022,B,5,Operário,operario,Paulo Sergio Luiz de Souza,paulo_sergio_luiz_de_souza,9,35,0,35,1T,Penalty
48,2022,B,5,Sampaio Corrêa,sampaio_correa,Rafael Oliveira Silva,rafael_oliveira_silva,10,10,0,55,2T,Normal
49,2022,B,5,Tombense,tombense,Igor Henrique Martins Machado,igor_henrique_martins_machado,11,5,0,5,1T,Normal
49,2022,B,5,Tombense,tombense,Roger de Carvalho,roger_de_carvalho,4,10,0,55,2T,Gol Contra
50,2022,B,5,Cruzeiro Saf,cruzeiro_saf,Geovane de Jesus Rocha,geovane_de_jesus_rocha,42,37,0,82,2T,Normal
50,2022,B,5,Cruzeiro Saf,cruzeiro_saf,Eduardo Nascimento da Silva Junior,eduardo_nascimento_da_silva_junior,99,44,0,89,2T,Normal
52,2022,B,6,Crb,crb,Anselmo Ramon Alves Herculano,anselmo_ramon_alves_herculano,9,18,0,18,1T,Normal
52,2022,B,6,Crb,crb,Fabio Augusto Luciano da Silva,fabio_augusto_luciano_da_silva,11,30,0,30,1T,Normal
52,2022,B,6,Sampaio Corrêa,sampaio_correa,Gabriel Buscariol Poveda,gabriel_buscariol_poveda,19,40,0,85,2T,Penalty
53,2022,B,6,Sport,sport,Javier Andres Parraguez Herrera,javier_andres_parraguez_herrera,9,12,0,57,2T,Normal
53,2022,B,6,Sport,sport,Luciano Batista da Silva Junior,luciano_batista_da_silva_junior,46,29,0,74,2T,Normal
55,2022,B,6,Novorizontino,novorizontino,Douglas Baggio de Oliveira Costa,douglas_baggio_de_oliveira_costa,7,16,0,16,1T,Normal
55,2022,B,6,Ituano,ituano,Lucas Santos Siqueira,lucas_santos_siqueira,8,39,0,39,1T,Normal
55,2022,B,6,Novorizontino,novorizontino,Welliton Soares Morais,welliton_soares_morais,19,19,0,64,2T,Normal
